Running Multigrid:
	Domain Size: 64
	Max Box Size: 32
	Number of Multigrid Levels: 5
iteration number = 0, Residual norm: 2.605727e+00
iteration number = 1, Residual norm: 3.043679e-01
iteration number = 2, Residual norm: 6.233435e-02
iteration number = 3, Residual norm: 1.029464e-02
iteration number = 4, Residual norm: 1.826499e-03
iteration number = 5, Residual norm: 3.153626e-04
iteration number = 6, Residual norm: 5.517629e-05
iteration number = 7, Residual norm: 9.596369e-06
iteration number = 8, Residual norm: 1.678215e-06
iteration number = 9, Residual norm: 2.927303e-07
iteration number = 10, Residual norm: 5.122579e-08
iteration number = 11, Residual norm: 8.952454e-09
iteration number = 12, Residual norm: 1.567685e-09
iteration number = 13, Residual norm: 2.743850e-10
iteration number = 14, Residual norm: 4.822302e-11
iteration number = 15, Residual norm: 8.530579e-12
iteration number = 16, Residual norm: 1.442901e-12
iteration number = 17, Residual norm: 2.602363e-13
iteration number = 18, Residual norm: 2.341460e-13
iteration number = 19, Residual norm: 1.906253e-13
Error: 8.026097e-04
